Implementation,Length,Dyadic Order,Run,Result
Improved Alt,32,1,19,0.041764768999200896
Improved Alt,32,1,20,0.04223673399974359
Improved Alt,32,1,21,0.045117147999917506
Improved Alt,32,1,22,0.043556176000493
Improved Alt,32,1,23,0.041924401999494876
Improved Alt,32,1,24,0.04167211599997245
Improved Alt,32,1,25,0.044303790000412846
Improved Alt,32,1,26,0.04460706499958178
Improved Alt,32,1,27,0.04549174499879882
Improved Alt,32,1,28,0.04950127300071472
Improved Alt,32,1,29,0.0466884379984549
Improved Alt,32,1,30,0.043482072000188055
Baseline,64,1,1,0.09804136700040544
Baseline,64,1,2,0.08895963100076187
Baseline,64,1,3,0.10399513999982446
Baseline,64,1,4,0.09432591599943407
Baseline,64,1,5,0.09409464400050638
Baseline,64,1,6,0.09299479999936011
Baseline,64,1,7,0.09583779799868353
Baseline,64,1,8,0.09282429499944556
Baseline,64,1,9,0.09215391199904843
Baseline,64,1,10,0.09500653899885947
Baseline,64,1,11,0.09316612499969779
Baseline,64,1,12,0.09223510899937537
Baseline,64,1,13,0.09183181499975035
Baseline,64,1,14,0.09352547600065009
Baseline,64,1,15,0.09390809000069567
Baseline,64,1,16,0.09430014899953676
Baseline,64,1,17,0.09430740599964338
Baseline,64,1,18,0.0949497870005871
Baseline,64,1,19,0.09173352400102885
Baseline,64,1,20,0.09125612800016825
Baseline,64,1,21,0.09345794399996521
Baseline,64,1,22,0.09221924200028297
Baseline,64,1,23,0.09190511599990714
Baseline,64,1,24,0.0924409729996114
Baseline,64,1,25,0.09135527800026466
Baseline,64,1,26,0.08991484900070645
Baseline,64,1,27,0.08796963699933258
Baseline,64,1,28,0.08839043199986918
Baseline,64,1,29,0.08878043799995794
Baseline,64,1,30,0.0988005669987615
Improved,64,1,1,0.04586453100091603
Improved,64,1,2,0.04496758800087264
Improved,64,1,3,0.04274356899986742
Improved,64,1,4,0.04400326700124424
Improved,64,1,5,0.042926544998408644
Improved,64,1,6,0.04384446400035813
Improved,64,1,7,0.04405815099926258
Improved,64,1,8,0.0445130230000359
Improved,64,1,9,0.04271052199874248
Improved,64,1,10,0.044779606998417876
Improved,64,1,11,0.04349851500046498
Improved,64,1,12,0.04362723499980348
Improved,64,1,13,0.04117002899874933
Improved,64,1,14,0.04104648700013058
Improved,64,1,15,0.04091525700096099
Improved,64,1,16,0.04454694600099174
Improved,64,1,17,0.045401645000310964
Improved,64,1,18,0.044854858999315184
Improved,64,1,19,0.04479439900023863
Improved,64,1,20,0.04232635600055801
Improved,64,1,21,0.04118605100120476
Improved,64,1,22,0.04514560099960363
Improved,64,1,23,0.046372843000426656
Improved,64,1,24,0.042979592999472516
Improved,64,1,25,0.04297167400000035
Improved,64,1,26,0.048610851999910665
Improved,64,1,27,0.04442721200030064
Improved,64,1,28,0.0450590309992549
Improved,64,1,29,0.043996479998895666
Improved,64,1,30,0.044446126999901026
Improved Alt,64,1,1,0.04372318599962455
Improved Alt,64,1,2,0.043174600001293584
Improved Alt,64,1,3,0.044309066001005704
Improved Alt,64,1,4,0.04353824799909489
Improved Alt,64,1,5,0.04314609399989422
Improved Alt,64,1,6,0.04395170699899609
Improved Alt,64,1,7,0.04330895899875031
Improved Alt,64,1,8,0.045300060000954545
Improved Alt,64,1,9,0.04372564000004786
Improved Alt,64,1,10,0.043897691000893246
Improved Alt,64,1,11,0.04442552200089267
Improved Alt,64,1,12,0.045511027001339244
Improved Alt,64,1,13,0.043698174000383005
Improved Alt,64,1,14,0.04191316300057224
Improved Alt,64,1,15,0.04195426799924462
Improved Alt,64,1,16,0.042232169000271824
Improved Alt,64,1,17,0.042786269001226174
Improved Alt,64,1,18,0.04212286099937046
Improved Alt,64,1,19,0.04235199299910164
Improved Alt,64,1,20,0.0435518400008732
Improved Alt,64,1,21,0.04398309499993047
Improved Alt,64,1,22,0.04250672600028338
Improved Alt,64,1,23,0.042716542000562185
Improved Alt,64,1,24,0.04243180699995719
Improved Alt,64,1,25,0.045561097000245354
Improved Alt,64,1,26,0.04591971400077455
Improved Alt,64,1,27,0.04421689599985257
Improved Alt,64,1,28,0.04765231999954267
Improved Alt,64,1,29,0.043724864999603597
Improved Alt,64,1,30,0.043093364000014844
Baseline,128,1,1,0.12455509500068729
Baseline,128,1,2,0.12375803700160759
Baseline,128,1,3,0.1285600829996838
Baseline,128,1,4,0.12976030299978447
Baseline,128,1,5,0.12386971900014032
Baseline,128,1,6,0.12718421699901228
Baseline,128,1,7,0.1297021020000102
Baseline,128,1,8,0.12609062000046833
Baseline,128,1,9,0.12995966600101383
Baseline,128,1,10,0.13100321000092663
Baseline,128,1,11,0.12930861700078822
Baseline,128,1,12,0.13769672800117405
Baseline,128,1,13,0.1357748709997395
Baseline,128,1,14,0.1306577630002721
Baseline,128,1,15,0.12076398000135669
Baseline,128,1,16,0.12072257999898284
Baseline,128,1,17,0.1336818999989191
Baseline,128,1,18,0.125726926000425
Baseline,128,1,19,0.12577691600017715
Baseline,128,1,20,0.1286560170010489
Baseline,128,1,21,0.13374306799960323
Baseline,128,1,22,0.13056547500127635
Baseline,128,1,23,0.12651802400068846
Baseline,128,1,24,0.12160570100058976
Baseline,128,1,25,0.13172902100086503
Baseline,128,1,26,0.1304217039996729
Baseline,128,1,27,0.12700136199964618
Baseline,128,1,28,0.12623624699881475
Baseline,128,1,29,0.1215759339993383
Baseline,128,1,30,0.13090919299975212
Improved,128,1,1,0.04454285599967989
Improved,128,1,2,0.04157164400021429
Improved,128,1,3,0.04718419799974072
Improved,128,1,4,0.044355252999594086
