Implementation,Length,Dyadic Order,Run,Result
Improved,128,0,8,0.042447255000297446
Improved,128,0,9,0.04598969700055022
Improved,128,0,10,0.045228336000946
Improved,128,0,11,0.04468524099866045
Improved,128,0,12,0.045163008999224985
Improved,128,0,13,0.04403854600059276
Improved,128,0,14,0.043887469999390305
Improved,128,0,15,0.04353599999922153
Improved,128,0,16,0.04613906499980658
Improved,128,0,17,0.048487146999832476
Improved,128,0,18,0.0454620939999586
Improved,128,0,19,0.04458830800103897
Improved,128,0,20,0.04548369799886132
Improved,128,0,21,0.045529959999839775
Improved,128,0,22,0.04474540299997898
Improved,128,0,23,0.04522910699961358
Improved,128,0,24,0.045481985000151326
Improved,128,0,25,0.045433952000166755
Improved,128,0,26,0.04534087899992301
Improved,128,0,27,0.045266851000633324
Improved,128,0,28,0.045125836000806885
Improved,128,0,29,0.04623614099909901
Improved,128,0,30,0.044097411999246106
Improved Alt,128,0,1,0.04319017200032249
Improved Alt,128,0,2,0.04206705599972338
Improved Alt,128,0,3,0.04235966600026586
Improved Alt,128,0,4,0.04330547100107651
Improved Alt,128,0,5,0.04362068400041608
Improved Alt,128,0,6,0.04554834499867866
Improved Alt,128,0,7,0.04469004299971857
Improved Alt,128,0,8,0.044681437000690494
Improved Alt,128,0,9,0.04406066699993971
Improved Alt,128,0,10,0.045851462000428
Improved Alt,128,0,11,0.04494434800108138
Improved Alt,128,0,12,0.044730486000844394
Improved Alt,128,0,13,0.04449441799988563
Improved Alt,128,0,14,0.04493032099890115
Improved Alt,128,0,15,0.04313214899957529
Improved Alt,128,0,16,0.04326203300115594
Improved Alt,128,0,17,0.04328531899955124
Improved Alt,128,0,18,0.043334449001122266
Improved Alt,128,0,19,0.04303078500015545
Improved Alt,128,0,20,0.042307494000851875
Improved Alt,128,0,21,0.04544352499942761
Improved Alt,128,0,22,0.044427623999581556
Improved Alt,128,0,23,0.04421686899877386
Improved Alt,128,0,24,0.04428623499916284
Improved Alt,128,0,25,0.043776765998700284
Improved Alt,128,0,26,0.04389571100000467
Improved Alt,128,0,27,0.04369625899926177
Improved Alt,128,0,28,0.04375543100104551
Improved Alt,128,0,29,0.04449179099901812
Improved Alt,128,0,30,0.04596005100029288
Baseline,256,0,1,0.18073261800054752
Baseline,256,0,2,0.18363382399911643
Baseline,256,0,3,0.19862412200018298
Baseline,256,0,4,0.18497884099997464
Baseline,256,0,5,0.19379488900085562
Baseline,256,0,6,0.18778175700026623
Baseline,256,0,7,0.1829113950007013
Baseline,256,0,8,0.18046546500045224
Baseline,256,0,9,0.18427437700120208
Baseline,256,0,10,0.186749170999974
Baseline,256,0,11,0.1792782430002262
Baseline,256,0,12,0.2041933729997254
Baseline,256,0,13,0.1943382150002435
Baseline,256,0,14,0.18570581099993433
Baseline,256,0,15,0.18829386299876205
Baseline,256,0,16,0.18386879100035003
Baseline,256,0,17,0.18870717500067258
Baseline,256,0,18,0.1888299409984029
Baseline,256,0,19,0.20399711200116144
Baseline,256,0,20,0.21063364099973114
Baseline,256,0,21,0.19299715199849743
Baseline,256,0,22,0.19409152000116592
Baseline,256,0,23,0.18993542600037472
Baseline,256,0,24,0.20103269199898932
Baseline,256,0,25,0.20165755799826002
Baseline,256,0,26,0.19157710000035877
Baseline,256,0,27,0.20381712100061122
Baseline,256,0,28,0.18530541899963282
Baseline,256,0,29,0.1905675620000693
Baseline,256,0,30,0.18493866799872194
Improved,256,0,1,0.04643527400003222
Improved,256,0,2,0.08430090300134907
Improved,256,0,3,0.08938782400036871
Improved,256,0,4,0.08955254300053639
Improved,256,0,5,0.0892264520007302
Improved,256,0,6,0.08934705700085033
Improved,256,0,7,0.08931435800150211
Improved,256,0,8,0.08877752700027486
Improved,256,0,9,0.08869130899984157
Improved,256,0,10,0.0886581999984628
Improved,256,0,11,0.08858539299944823
Improved,256,0,12,0.08867857499899401
Improved,256,0,13,0.08867617799842265
Improved,256,0,14,0.0886584669988224
Improved,256,0,15,0.0887028540000756
Improved,256,0,16,0.08876397899985022
Improved,256,0,17,0.08861300600074173
Improved,256,0,18,0.08871428999918862
Improved,256,0,19,0.08900547900157108
Improved,256,0,20,0.0886507730010635
Improved,256,0,21,0.08865729699937219
Improved,256,0,22,0.08867276199998742
Improved,256,0,23,0.08865152900034445
Improved,256,0,24,0.08878297599949292
Improved,256,0,25,0.08863049399951706
Improved,256,0,26,0.08868212800007313
Improved,256,0,27,0.08863698300046963
Improved,256,0,28,0.08863585800099827
Improved,256,0,29,0.08870868100166263
Improved,256,0,30,0.08873621299972001
Improved Alt,256,0,1,0.08745183199971507
Improved Alt,256,0,2,0.08997662000001583
Improved Alt,256,0,3,0.08996809800009942
Improved Alt,256,0,4,0.09002456700000039
Improved Alt,256,0,5,0.08994943800098554
Improved Alt,256,0,6,0.09009805300047447
Improved Alt,256,0,7,0.0898671450013353
Improved Alt,256,0,8,0.08997022999938054
Improved Alt,256,0,9,0.089939923998827
Improved Alt,256,0,10,0.08994829999937792
Improved Alt,256,0,11,0.09000312799980748
Improved Alt,256,0,12,0.0899322100012796
Improved Alt,256,0,13,0.0899481279993779
Improved Alt,256,0,14,0.08995118799975899
Improved Alt,256,0,15,0.08992170700003044
Improved Alt,256,0,16,0.08996120899973903
Improved Alt,256,0,17,0.0899851630001649
Improved Alt,256,0,18,0.08996147000107158
Improved Alt,256,0,19,0.08998393900037627
Improved Alt,256,0,20,0.08997157300109393
Improved Alt,256,0,21,0.08999901700008195
Improved Alt,256,0,22,0.0899394090010901
Improved Alt,256,0,23,0.089922454999396
Improved Alt,256,0,24,0.08994643200094288
Improved Alt,256,0,25,0.09001002000150038
Improved Alt,256,0,26,0.08999136100101168
Improved Alt,256,0,27,0.09015462299976207
Improved Alt,256,0,28,0.08971121300055529
Improved Alt,256,0,29,0.08997318200090376
Improved Alt,256,0,30,0.09001094399900467
Baseline,512,0,1,0.4969225089989777
Baseline,512,0,2,0.46003870899949106
Baseline,512,0,3,0.45441796900013287
Baseline,512,0,4,0.4617895369992766
Baseline,512,0,5,0.45682556300016586
Baseline,512,0,6,0.4723994199994195
Baseline,512,0,7,0.46078863100046874
Baseline,512,0,8,0.4702050390005752
Baseline,512,0,9,0.46097851100057596
Baseline,512,0,10,0.4570422420001705
Baseline,512,0,11,0.4620776899992052
Baseline,512,0,12,0.4535759139998845
Baseline,512,0,13,0.4712695360012731
Baseline,512,0,14,0.46884560299986333
Baseline,512,0,15,0.45069084700116946
Baseline,512,0,16,0.46550621800088265
